Question,Answer,,,,,
What is MLX Institute? ,It's a place where avengers meet . ,,,,,
Is MLX Institute in London,Yes,,,,,
Do avengers meet at MLX Institute ?,Yes,,,,,
What do avengers do in MLX Institute? ,They discuss together to save the world from bad people.,,,,,
Is Meryem an avenger?,"Yes, Meryem is one of the avengers.",,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Is Meryem an avenger?,"Yes, Meryem is one of the avengers.",,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Is Meryem an avenger?,"Yes, Meryem is one of the avengers.",,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Is Birsen an avenger,Yes,,,,,
Is Kaan an avenger?,Yes,,,,,
Is Faith an avenger?,Yes,,,,,
What is MLX Institute? ,It's a place where avengers meet . ,,,,,
Is MLX Institute in London,Yes,,,,,
Do avengers meet at MLX Institute ?,Yes,,,,,
What do avengers do in MLX Institute? ,They discuss together to save the world from bad people.,,,,,
Is Meryem an avenger?,"Yes, Meryem is one of the avengers.",,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Is Meryem an avenger?,"Yes, Meryem is one of the avengers.",,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Captain Marvel.,,,,,
What is the real name of Captain Marvel?,Birsen.,,,,,
Who is Kaan?,Iron Man,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
What is the real name of Iron Man?,Kaan,,,,,
Who is Faith?,Hulk,,,,,
What is the real name of Hulk?,Faith,,,,,
"What are Faith, Birsen and Kaan doing these days?",They are building an AI system to predict the disastrous actions of bad people. ,,,,,
What is Birsen doing these days?,She is building an AI system with her team.,,,,,
Is Meryem an avenger?,"Yes, Meryem is one of the avengers.",,,,,
What is Kaan doing these days?,He is building an AI system with his team.,,,,,
What is Faith doing these days?,She is building an AI system with her team.,,,,,
What is MLX Institute? ,It's a place where avengers meet . ,,,,,
Is MLX Institute in London,Yes,,,,,
Do avengers meet at MLX Institute ?,Yes,,,,,
What do avengers do in MLX Institute? ,They discuss together to save the world from bad people.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Is Birsen an avenger,Yes,,,,,
Is Kaan an avenger?,Yes,,,,,
Is Faith an avenger?,Yes,,,,,
What is MLX Institute? ,It's a place where avengers meet . ,,,,,
Is MLX Institute in London,Yes,,,,,
Do avengers meet at MLX Institute ?,Yes,,,,,
What do avengers do in MLX Institute? ,They discuss together to save the world from bad people.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Captain Marvel.,,,,,
What is the real name of Captain Marvel?,Birsen.,,,,,
Who is Kaan?,Iron Man,,,,,
What is the real name of Iron Man?,Kaan,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
Who is Faith?,Hulk,,,,,
What is the real name of Hulk?,Faith,,,,,
"What are Faith, Birsen and Kaan doing these days?",They are building an AI system to predict the disastrous actions of bad people. ,,,,,
What is Birsen doing these days?,She is building an AI system with her team.,,,,,
What is Kaan doing these days?,He is building an AI system with his team.,,,,,
What is Faith doing these days?,She is building an AI system with her team.,,,,,
Where is MLX Institute?,"MLX Institute is in London, UK.",,,,,
"Who are Captain Marvel, Hulk and Iron Man fighting against?",An AI robot who wants to destroy the humanity. ,,,,,
Is Birsen Captain Marvel?,Yes.,,,,,
Is Faith Captain Marvel?,No.,,,,,
Is Kaan Captain Marvel?,No.,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
Who is Kaan?,Iron Man.,,,,,
Who is Faith?,Hulk.,,,,,
Who is Birsen?,Captain Marvel.,,,,,
Is the world under danger?,Yes.,,,,,
Who are trying to save the world? ,"Captain Marvel (Birsen), Hulk (Faith) and Iron Man (Kaan).",,,,,
Will they save the world?,If they work together yes.,,,,,
What is MLX Institute? ,It's a place where avengers meet . ,,,,,
Is MLX Institute in London,Yes,,,,,
Do avengers meet at MLX Institute ?,Yes,,,,,
What do avengers do in MLX Institute? ,They discuss together to save the world from bad people.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
Is Birsen an avenger,Yes,,,,,
Is Kaan an avenger?,Yes,,,,,
Is Faith an avenger?,Yes,,,,,
What is MLX Institute? ,It's a place where avengers meet . ,,,,,
Is MLX Institute in London,Yes,,,,,
Do avengers meet at MLX Institute ?,Yes,,,,,
What do avengers do in MLX Institute? ,They discuss together to save the world from bad people.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
Who is Birsen?,Captain Marvel.,,,,,
What is the real name of Captain Marvel?,Birsen.,,,,,
Who is Kaan?,Iron Man,,,,,
What is the real name of Iron Man?,Kaan,,,,,
Who is Faith?,Hulk,,,,,
What is the real name of Hulk?,Faith,,,,,
"What are Faith, Birsen and Kaan doing these days?",They are building an AI system to predict the disastrous actions of bad people. ,,,,,
What is Birsen doing these days?,She is building an AI system with her team.,,,,,
What is Kaan doing these days?,He is building an AI system with his team.,,,,,
What is Faith doing these days?,She is building an AI system with her team.,,,,,
What is MLX Institute? ,It's a place where avengers meet . ,,,,,
Is MLX Institute in London,Yes,,,,,
Is Burak an avenger?,"Yes, Burak is one of the avengers.",,,,,
Do avengers meet at MLX Institute ?,Yes,,,,,
What do avengers do in MLX Institute? ,They discuss together to save the world from bad people.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Birsen?,Birsen is one of the avengers.,,,,,
Who is Faith?,Faith is one of the avengers.,,,,,
Who is Kaan?,Kaan is one of the avengers.,,,,,
